,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v5_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v5_started_Tie,ZEROX_v1_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,18.0,
1,23.0,,,,,
2,,,,,10.0,
3,,,,,,11.0
4,,,,,,9.0
5,,,,,,9.0
6,,,,,16.0,
7,,,,,,19.0
8,,,,,12.0,
9,,,,,12.0,
10,,,,,10.0,
11,,,,,16.0,
12,,,,,,9.0
13,,,,,14.0,
14,,,,,,9.0
15,,,,,22.0,
16,,,,,14.0,
17,,,,,12.0,
18,,,,,28.0,
19,,,,,10.0,
20,,,,,,13.0
21,,,,,12.0,
22,,,,,,9.0
23,,,,,,9.0
24,,,,,,11.0
25,,,,,,11.0
26,,,,,,13.0
27,,,,,10.0,
28,,,,,,9.0
29,,,,,,11.0
30,,,,,,9.0
31,,,,,,11.0
32,,,,,,15.0
33,,,,,,17.0
34,,,,,18.0,
35,,,,,10.0,
36,,,,,16.0,
37,,,,,16.0,
38,21.0,,,,,
39,,,,,,9.0
40,,,,,12.0,
41,,,,,,11.0
42,,,,,10.0,
43,17.0,,,,,
44,,,,,10.0,
45,,,,,26.0,
46,,,,,,13.0
47,,,,,10.0,
48,,,,,26.0,
49,,,,,,9.0
