,ZEROX_v4_started_ZEROX_v4_won,UCT_4000_started_ZEROX_v4_won,ZEROX_v4_started_Tie,UCT_4000_started_Tie,ZEROX_v4_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,18.0,
1,15.0,,,,,
2,15.0,,,,,
3,11.0,,,,,
4,,,,,,21.0
5,,,,,,17.0
6,15.0,,,,,
7,11.0,,,,,
8,13.0,,,,,
9,11.0,,,,,
10,,10.0,,,,
11,11.0,,,,,
12,,10.0,,,,
13,,,,,,9.0
14,,10.0,,,,
15,11.0,,,,,
16,,18.0,,,,
17,,,,,,21.0
18,23.0,,,,,
19,,,,,,19.0
20,,10.0,,,,
21,,,,,12.0,
22,,,,,18.0,
23,11.0,,,,,
24,,10.0,,,,
25,,,,,,11.0
26,11.0,,,,,
27,,,,,,19.0
28,,,,,,11.0
29,,,,,10.0,
30,,,,,,33.0
31,,12.0,,,,
32,9.0,,,,,
33,,10.0,,,,
34,,,,,,19.0
35,,10.0,,,,
36,11.0,,,,,
37,11.0,,,,,
38,11.0,,,,,
39,,10.0,,,,
40,,,,,,17.0
41,13.0,,,,,
42,15.0,,,,,
43,,10.0,,,,
44,,,,,12.0,
45,21.0,,,,,
46,13.0,,,,,
47,,,,,10.0,
48,,,,,10.0,
49,17.0,,,,,
