,ZERO_v1_started_ZERO_v1_won,ZERO_v4_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v4_started_Tie,ZERO_v1_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,17.0,,,,,
1,,,,,,11.0
2,,,,,,19.0
3,,,,,12.0,
4,,,,,10.0,
5,,,,,,21.0
6,,,,,,19.0
7,,,,,12.0,
8,,,,,,19.0
9,,,,,10.0,
10,,,,,10.0,
11,,,,,22.0,
12,,,,,20.0,
13,,,,,,11.0
14,,,,,,15.0
15,,,,,,17.0
16,,,,,,17.0
17,,,,,,13.0
18,,,,,,15.0
19,,,,,,13.0
20,,,,,,15.0
21,15.0,,,,,
22,,,,,12.0,
23,,,,,,15.0
24,,,,,,23.0
25,15.0,,,,,
26,,,,,16.0,
27,,,,,,23.0
28,,,,,,13.0
29,,,,,,11.0
30,,,,,20.0,
31,,,,,12.0,
32,,,,,,17.0
33,,,,,10.0,
34,,,,,12.0,
35,,,,,10.0,
36,,,,,12.0,
37,,,,,,15.0
38,,,,,,17.0
39,21.0,,,,,
40,,,,,16.0,
41,,,,,12.0,
42,,,,,,29.0
43,,,,,12.0,
44,,,,,12.0,
45,,,,,10.0,
46,25.0,,,,,
47,,,,,,15.0
48,,,,,,17.0
49,,,,,,11.0
