,FLAT_v4_started_FLAT_v4_won,ZERO_v4_started_FLAT_v4_won,FLAT_v4_started_Tie,ZERO_v4_started_Tie,FLAT_v4_started_ZERO_v4_won,ZERO_v4_started_ZERO_v4_won
0,,,,,,23.0
1,,,,,,15.0
2,,,,,16.0,
3,21.0,,,,,
4,,,,,16.0,
5,,,,,22.0,
6,,,,64.0,,
7,,,,,30.0,
8,,,,,58.0,
9,,,,,12.0,
10,,,,,34.0,
11,,,,,,15.0
12,,,,,54.0,
13,25.0,,,,,
14,,,,,,21.0
15,,,,,,17.0
16,,,,,16.0,
17,,,,,,13.0
18,,,,,,21.0
19,,,,,36.0,
20,,,,,,23.0
21,,,,,,19.0
22,,,,,,59.0
23,,,,,12.0,
24,,,,,,19.0
25,,,64.0,,,
26,33.0,,,,,
27,,,,,,33.0
28,,,,,,19.0
29,,,,,,21.0
30,,,,,10.0,
31,,,,,,39.0
32,,,,,,17.0
33,,,,,,19.0
34,,,,,,19.0
35,21.0,,,,,
36,,,,,12.0,
37,,,,,12.0,
38,,,,,10.0,
39,,,,,,25.0
40,,,,,18.0,
41,,,,,12.0,
42,,,,,56.0,
43,,,,,,21.0
44,,,,,,17.0
45,,,,,,21.0
46,,,,,14.0,
47,,,,,,37.0
48,,,,,44.0,
49,,,,,28.0,
