,ZERO_v1_started_ZERO_v1_won,ZEROX_v1_started_ZERO_v1_won,ZERO_v1_started_Tie,ZEROX_v1_started_Tie,ZERO_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,21.0,,,,,
1,,,,,20.0,
2,,,,,,19.0
3,,,,,,15.0
4,9.0,,,,,
5,,16.0,,,,
6,,,,,10.0,
7,,30.0,,,,
8,,,,,,17.0
9,,,,,28.0,
10,,,,,,9.0
11,13.0,,,,,
12,15.0,,,,,
13,,18.0,,,,
14,,14.0,,,,
15,,,,,,19.0
16,,14.0,,,,
17,,,,,32.0,
18,,,,,26.0,
19,,,,,20.0,
20,,,,,,31.0
21,13.0,,,,,
22,,14.0,,,,
23,,,,,,15.0
24,,,,,,9.0
25,,,,,,17.0
26,,,,,16.0,
27,,,,,18.0,
28,,,,,,33.0
29,,34.0,,,,
30,,,,,,25.0
31,,,,,,19.0
32,,20.0,,,,
33,,,,,,19.0
34,29.0,,,,,
35,,,,,10.0,
36,,,64.0,,,
37,,,,,,19.0
38,,14.0,,,,
39,,,,,,11.0
40,,,,,16.0,
41,,,,,,15.0
42,,10.0,,,,
43,,10.0,,,,
44,,,,,,17.0
45,25.0,,,,,
46,15.0,,,,,
47,,,,,,9.0
48,,14.0,,,,
49,,,,,22.0,
