,FLAT_v1_started_FLAT_v1_won,FLAT_v3_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v3_started_Tie,FLAT_v1_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,,,,,9.0
1,,,,,18.0,
2,21.0,,,,,
3,11.0,,,,,
4,11.0,,,,,
5,,,,,,23.0
6,,,,,,13.0
7,,,,,,15.0
8,,,,,,17.0
9,,,,,,13.0
10,,,,,,11.0
11,11.0,,,,,
12,,,,,,13.0
13,11.0,,,,,
14,13.0,,,,,
15,,,,,12.0,
16,,,,,,11.0
17,,,,,,9.0
18,11.0,,,,,
19,,,,,12.0,
20,,,,,,11.0
21,,,,,,13.0
22,,,,,28.0,
23,13.0,,,,,
24,,,,,12.0,
25,,,,,10.0,
26,,,,,,13.0
27,13.0,,,,,
28,,,,,,13.0
29,11.0,,,,,
30,11.0,,,,,
31,,,,,12.0,
32,,,,,,9.0
33,,,,,20.0,
34,,,,,16.0,
35,,,,,22.0,
36,,,,,,13.0
37,,,,,,9.0
38,,,,,,17.0
39,,,,,,15.0
40,,,,,,15.0
41,,,,,12.0,
42,,,,,,9.0
43,,,,,,13.0
44,,,,,,11.0
45,,,,,,13.0
46,,,,,,9.0
47,,,,,,13.0
48,,,,,,13.0
49,13.0,,,,,
