,ZEROX_v2_started_ZEROX_v2_won,ZERO_v2_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZERO_v2_started_Tie,ZEROX_v2_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,,,,,,17.0
1,9.0,,,,,
2,15.0,,,,,
3,13.0,,,,,
4,,,,,,9.0
5,,,,,,17.0
6,13.0,,,,,
7,,,36.0,,,
8,,,,,,21.0
9,11.0,,,,,
10,19.0,,,,,
11,13.0,,,,,
12,,,,,,11.0
13,13.0,,,,,
14,11.0,,,,,
15,9.0,,,,,
16,,12.0,,,,
17,21.0,,,,,
18,13.0,,,,,
19,,,,,16.0,
20,7.0,,,,,
21,11.0,,,,,
22,,,,,,11.0
23,11.0,,,,,
24,,,,,,9.0
25,,,,,,21.0
26,9.0,,,,,
27,,,,,,11.0
28,15.0,,,,,
29,,,,,,7.0
30,,,,,,11.0
31,,,,,10.0,
32,,,,,,13.0
33,7.0,,,,,
34,,10.0,,,,
35,21.0,,,,,
36,,,,,,13.0
37,7.0,,,,,
38,,,,,,15.0
39,7.0,,,,,
40,,,,36.0,,
41,,,,,14.0,
42,9.0,,,,,
43,,,,,,13.0
44,,10.0,,,,
45,13.0,,,,,
46,,,,,,17.0
47,13.0,,,,,
48,17.0,,,,,
49,,,,,,13.0
