,ZERO_v1_started_ZERO_v1_won,UCT_2000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_2000_started_Tie,ZERO_v1_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,,,,,7.0
1,,,,,,7.0
2,,14.0,,,,
3,7.0,,,,,
4,,,,,,9.0
5,7.0,,,,,
6,7.0,,,,,
7,7.0,,,,,
8,11.0,,,,,
9,15.0,,,,,
10,7.0,,,,,
11,13.0,,,,,
12,,8.0,,,,
13,,,,,10.0,
14,11.0,,,,,
15,11.0,,,,,
16,,,,,,7.0
17,,,,,20.0,
18,,10.0,,,,
19,,,,,12.0,
20,,,,,10.0,
21,,12.0,,,,
22,,,,,,11.0
23,9.0,,,,,
24,,10.0,,,,
25,,,,,,7.0
26,11.0,,,,,
27,,14.0,,,,
28,7.0,,,,,
29,7.0,,,,,
30,,,,,,7.0
31,,8.0,,,,
32,,,,,,7.0
33,17.0,,,,,
34,,14.0,,,,
35,11.0,,,,,
36,19.0,,,,,
37,,,,,,7.0
38,,,,,,7.0
39,7.0,,,,,
40,,,,,14.0,
41,7.0,,,,,
42,11.0,,,,,
43,7.0,,,,,
44,,8.0,,,,
45,7.0,,,,,
46,15.0,,,,,
47,,,,,,7.0
48,,,,,10.0,
49,11.0,,,,,
