,ZERO_v3_started_ZERO_v3_won,FLAT_v3_started_ZERO_v3_won,ZERO_v3_started_Tie,FLAT_v3_started_Tie,ZERO_v3_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,15.0,,,,,
1,11.0,,,,,
2,,12.0,,,,
3,7.0,,,,,
4,,,,,,9.0
5,,,,,12.0,
6,11.0,,,,,
7,15.0,,,,,
8,,,,,,9.0
9,23.0,,,,,
10,,10.0,,,,
11,,,,,,13.0
12,9.0,,,,,
13,11.0,,,,,
14,,8.0,,,,
15,9.0,,,,,
16,,,,,,9.0
17,,,,,,15.0
18,,18.0,,,,
19,13.0,,,,,
20,,10.0,,,,
21,13.0,,,,,
22,9.0,,,,,
23,,,,,,9.0
24,,,,,,7.0
25,,,,,,9.0
26,,10.0,,,,
27,,10.0,,,,
28,13.0,,,,,
29,9.0,,,,,
30,11.0,,,,,
31,,16.0,,,,
32,,,,,12.0,
33,9.0,,,,,
34,,10.0,,,,
35,15.0,,,,,
36,,8.0,,,,
37,15.0,,,,,
38,15.0,,,,,
39,,10.0,,,,
40,9.0,,,,,
41,13.0,,,,,
42,9.0,,,,,
43,,12.0,,,,
44,,,,,,13.0
45,,,,,,9.0
46,,8.0,,,,
47,,10.0,,,,
48,,12.0,,,,
49,9.0,,,,,
